Date,Neighborhood,Total Positives
5/15/20,Unknown,101
5/15/20,N5: BLOOMINGDALE,95
5/15/20,N27: KENT/PALISADES,84
5/15/20,N28: KINGMAN PARK,80
5/15/20,N23: GEORGETOWN EAST,69
5/15/20,N51: WOODRIDGE,65
5/15/20,N24: GWU,64
5/15/20,N10: CATHEDRAL HEIGHTS,59
5/15/20,N49: WASHINGTON HIGHLANDS,52
5/15/20,N25: HILL EAST,49
5/15/20,N50: WOODLEY PARK,46
5/15/20,N9: CAPITOL HILL,40
5/15/20,N11: CHEVY CHASE,40
5/15/20,N19: FOREST HILLS,37
5/15/20,N3: BARNABY WOODS,36
5/15/20,N15: DC MEDICAL CENTER,17
5/15/20,N22: GEORGETOWN,15
5/15/20,N36: NAVAL STATION & AIR FORCE,1
5/15/20,N35: NATIONAL MALL,1
5/16/20,N13: COLUMBIA HEIGHTS,410
5/16/20,N1: 16th ST HEIGHTS,382
5/16/20,N7: BRIGHTWOOD,342
5/16/20,N12: CHINATOWN,272
5/16/20,N37: NAYLOR/HILLCREST,266
5/16/20,N8: BRIGHTWOOD PARK,234
5/16/20,N31: LOGAN CIRCLE/SHAW,231
5/16/20,N45: TRINIDAD,225
5/16/20,N38: PETWORTH,220
5/16/20,N30: LINCOLN HEIGHTS,213
5/16/20,N34: MOUNT PLEASANT,203
5/16/20,N21: FORT LINCOLN/GATEWAY,201
5/16/20,N33: MICHIGAN PARK,200
5/16/20,N42: STADIUM ARMORY,186
5/16/20,N32: MARSHALL HEIGHTS,178
5/16/20,N20: FORT DUPONT,162
5/16/20,N39: SAINT ELIZABETHS,159
5/16/20,N14: CONGRESS HEIGHTS/SHIPLEY,159
5/16/20,N29: LAMOND RIGGS,156
5/16/20,N46: TWINING,143
5/16/20,N40: SHEPHERD PARK,137
5/16/20,N18: EDGEWOOD,137
5/16/20,N26: HISTORIC ANACOSTIA,134
5/16/20,N17: EASTLAND GARDENS,134
5/16/20,N47: U ST/PLEASANT,128
5/16/20,N41: SOUTH COLUMBIA HEIGHTS,127
5/16/20,N43: SW/WATERFRONT,125
5/16/20,N2: ADAMS MORGAN,121
5/16/20,N4: BELLEVUE,119
5/16/20,N16: DOUGLASS,118
5/16/20,N44: TENLEYTOWN,116
5/16/20,N6: BRENTWOOD,112
5/16/20,N48: UNION STATION,106
5/16/20,Unknown,103
5/16/20,N5: BLOOMINGDALE,96
5/16/20,N27: KENT/PALISADES,86
5/16/20,N28: KINGMAN PARK,80
5/16/20,N23: GEORGETOWN EAST,71
5/16/20,N51: WOODRIDGE,68
5/16/20,N24: GWU,65
5/16/20,N10: CATHEDRAL HEIGHTS,62
5/16/20,N49: WASHINGTON HIGHLANDS,52
5/16/20,N25: HILL EAST,50
5/16/20,N50: WOODLEY PARK,46
5/16/20,N9: CAPITOL HILL,40
5/16/20,N11: CHEVY CHASE,40
5/16/20,N19: FOREST HILLS,37
5/16/20,N3: BARNABY WOODS,36
5/16/20,N15: DC MEDICAL CENTER,18
5/16/20,N22: GEORGETOWN,15
5/16/20,N36: NAVAL STATION & AIR FORCE,1
5/16/20,N35: NATIONAL MALL,1
5/17/20,N13: COLUMBIA HEIGHTS,427
5/17/20,N1: 16th ST HEIGHTS,391
5/17/20,N7: BRIGHTWOOD,353
5/17/20,N12: CHINATOWN,275
5/17/20,N37: NAYLOR/HILLCREST,267
5/17/20,N8: BRIGHTWOOD PARK,240
5/17/20,N31: LOGAN CIRCLE/SHAW,235
5/17/20,N45: TRINIDAD,229
5/17/20,N38: PETWORTH,226
5/17/20,N30: LINCOLN HEIGHTS,221
5/17/20,N33: MICHIGAN PARK,210
5/17/20,N21: FORT LINCOLN/GATEWAY,204
5/17/20,N34: MOUNT PLEASANT,202
5/17/20,N42: STADIUM ARMORY,186
5/17/20,N32: MARSHALL HEIGHTS,186
5/17/20,N20: FORT DUPONT,169
5/17/20,N14: CONGRESS HEIGHTS/SHIPLEY,169
5/17/20,N39: SAINT ELIZABETHS,160
5/17/20,N29: LAMOND RIGGS,159
5/17/20,N46: TWINING,143
5/17/20,N18: EDGEWOOD,140
5/17/20,N40: SHEPHERD PARK,139
5/17/20,N17: EASTLAND GARDENS,139
5/17/20,N26: HISTORIC ANACOSTIA,135
5/17/20,N47: U ST/PLEASANT,130
5/17/20,N41: SOUTH COLUMBIA HEIGHTS,130
5/17/20,N43: SW/WATERFRONT,125
5/17/20,N16: DOUGLASS,124
5/17/20,N4: BELLEVUE,123
5/17/20,N2: ADAMS MORGAN,123
5/17/20,N44: TENLEYTOWN,115
5/17/20,N6: BRENTWOOD,112
5/17/20,N48: UNION STATION,106
5/17/20,Unknown,102
5/17/20,N5: BLOOMINGDALE,97
5/17/20,N27: KENT/PALISADES,88
5/17/20,N28: KINGMAN PARK,80
5/17/20,N23: GEORGETOWN EAST,72
5/17/20,N51: WOODRIDGE,68
5/17/20,N24: GWU,66
5/17/20,N10: CATHEDRAL HEIGHTS,62
5/17/20,N49: WASHINGTON HIGHLANDS,53
5/17/20,N25: HILL EAST,52
5/17/20,N50: WOODLEY PARK,47
5/17/20,N9: CAPITOL HILL,42
5/17/20,N11: CHEVY CHASE,41
5/17/20,N19: FOREST HILLS,37
