Date,Neighborhood,Confirmed,ZIP_CODE
2020-07-02,N49: WASHINGTON HIGHLANDS,87,20032.0
2020-07-02,N10: CATHEDRAL HEIGHTS,71,20016.0
2020-07-02,N9: CAPITOL HILL,66,20002.0
2020-07-02,N50: WOODLEY PARK,64,20008.0
2020-07-02,N19: FOREST HILLS,62,20008.0
2020-07-02,N24: GWU,60,20052.0
2020-07-02,N11: CHEVY CHASE,51,20015.0
2020-07-02,N3: BARNABY WOODS,40,20015.0
2020-07-02,N15: DC MEDICAL CENTER,22,20422.0
2020-07-02,N22: GEORGETOWN,21,20007.0
2020-07-02,N36: NAVAL STATION & AIR FORCE,4,20373.0
2020-07-02,N35: NATIONAL MALL,1,20004.0
2020-07-03,N13: COLUMBIA HEIGHTS,692,20010.0
2020-07-03,N1: 16th ST HEIGHTS,625,20011.0
2020-07-03,N7: BRIGHTWOOD,483,20011.0
2020-07-03,N12: CHINATOWN,371,20001.0
2020-07-03,N37: NAYLOR/HILLCREST,361,20020.0
2020-07-03,N38: PETWORTH,353,20011.0
2020-07-03,N8: BRIGHTWOOD PARK,343,20011.0
2020-07-03,N31: LOGAN CIRCLE/SHAW,313,20005.0
2020-07-03,N30: LINCOLN HEIGHTS,313,20019.0
2020-07-03,N45: TRINIDAD,311,20002.0
2020-07-03,N33: MICHIGAN PARK,305,20017.0
2020-07-03,N34: MOUNT PLEASANT,290,20010.0
2020-07-03,N32: MARSHALL HEIGHTS,268,20019.0
2020-07-03,N14: CONGRESS HEIGHTS/SHIPLEY,261,20032.0
2020-07-03,N21: FORT LINCOLN/GATEWAY,245,20018.0
2020-07-03,N20: FORT DUPONT,245,20019.0
2020-07-03,N29: LAMOND RIGGS,223,20011.0
2020-07-03,N46: TWINING,220,20020.0
2020-07-03,N39: SAINT ELIZABETHS,214,20032.0
2020-07-03,N26: HISTORIC ANACOSTIA,213,20373.0
2020-07-03,N42: STADIUM ARMORY,212,20009.0
2020-07-03,N17: EASTLAND GARDENS,204,20019.0
2020-07-03,N4: BELLEVUE,203,20043.0
2020-07-03,N18: EDGEWOOD,201,20002.0
2020-07-03,N47: U ST/PLEASANT,195,20001.0
2020-07-03,N43: SW/WATERFRONT,195,20024.0
2020-07-03,N41: SOUTH COLUMBIA HEIGHTS,187,20009.0
2020-07-03,N16: DOUGLASS,184,20020.0
2020-07-03,N40: SHEPHERD PARK,175,20012.0
2020-07-03,N6: BRENTWOOD,170,20018.0
2020-07-03,N2: ADAMS MORGAN,168,20009.0
2020-07-03,N48: UNION STATION,158,20002.0
2020-07-03,N5: BLOOMINGDALE,139,20001.0
2020-07-03,N44: TENLEYTOWN,137,20016.0
2020-07-03,N23: GEORGETOWN EAST,131,20007.0
2020-07-03,N28: KINGMAN PARK,120,20002.0
2020-07-03,N27: KENT/PALISADES,112,20016.0
2020-07-03,N25: HILL EAST,92,20003.0
2020-07-03,N51: WOODRIDGE,91,20018.0
2020-07-03,N49: WASHINGTON HIGHLANDS,87,20032.0
2020-07-03,N10: CATHEDRAL HEIGHTS,72,20016.0
2020-07-03,N9: CAPITOL HILL,67,20002.0
2020-07-03,N50: WOODLEY PARK,65,20008.0
2020-07-03,N19: FOREST HILLS,62,20008.0
2020-07-03,N24: GWU,61,20052.0
2020-07-03,N11: CHEVY CHASE,51,20015.0
2020-07-03,N3: BARNABY WOODS,40,20015.0
2020-07-03,N15: DC MEDICAL CENTER,22,20422.0
