,YEAR,CENSUS TRACT,COUNTY NAME,POPULATION,POVERTY RATE,RENTER OCCUPIED HOUSEHOLDS,PCT RENTER OCCUPIED,MEDIAN GROSS RENT,MEDIAN HOUSEHOLD INCOME,MEDIAN PROPERTY VALUE,RENT BURDEN,PCT WHITE,PCT AF AM,PCT HISPANIC,PCT AM IND,PCT ASIAN,PCT NH PI,PCT MULTIPLE,PCT OTHER,LOW FLAG,IMPUTED,SYMBOL
105,2000.0,76.04,"WASHINGTON,DC",3764.0,14.62,1104.0,63.19,529.0,35811.0,162000.0,22.9,3.67,94.21,0.58,0.19,0.35,0.0,0.66,0.35,0.0,0.0,dc
106,2000.0,76.05,"WASHINGTON,DC",3721.0,16.89,1304.0,76.89,602.0,32500.0,109600.0,24.3,1.16,96.13,0.81,0.21,0.43,0.0,1.26,0.0,0.0,0.0,dc
107,2000.0,77.03,"WASHINGTON,DC",4615.0,32.32,1452.0,79.17,530.0,25240.0,95000.0,26.2,0.52,95.75,2.25,0.26,0.13,0.07,1.0,0.02,0.0,0.0,dc
108,2000.0,77.07,"WASHINGTON,DC",3796.0,19.88,602.0,40.73,558.0,33592.0,104100.0,26.1,0.58,97.42,0.4,0.21,0.21,0.0,1.16,0.03,0.0,0.0,dc
109,2000.0,77.08,"WASHINGTON,DC",2706.0,24.22,928.0,80.56,568.0,25382.0,98500.0,27.7,0.59,98.08,0.26,0.15,0.07,0.0,0.81,0.04,0.0,0.0,dc
110,2000.0,77.09,"WASHINGTON,DC",1979.0,14.68,651.0,68.53,537.0,29332.0,113900.0,25.3,1.47,94.9,1.77,0.3,0.4,0.0,1.11,0.05,0.0,0.0,dc
111,2000.0,78.03,"WASHINGTON,DC",3092.0,25.33,670.0,51.42,473.0,27295.0,98300.0,26.8,1.07,96.86,1.03,0.06,0.16,0.0,0.78,0.03,0.0,0.0,dc
112,2000.0,78.04,"WASHINGTON,DC",3390.0,40.57,666.0,57.56,304.0,21130.0,94000.0,21.8,0.62,97.82,0.56,0.15,0.15,0.0,0.71,0.0,0.0,0.0,dc
113,2000.0,78.06,"WASHINGTON,DC",2133.0,17.69,475.0,52.78,507.0,31921.0,92900.0,20.7,0.38,97.84,0.61,0.33,0.19,0.0,0.61,0.05,0.0,0.0,dc
114,2000.0,78.07,"WASHINGTON,DC",1911.0,16.13,410.0,55.93,530.0,34050.0,106600.0,22.2,0.42,96.81,1.2,0.21,0.26,0.0,1.05,0.05,0.0,0.0,dc
115,2000.0,78.08,"WASHINGTON,DC",4012.0,36.0,820.0,60.03,390.0,24267.0,88100.0,28.1,0.55,97.86,0.72,0.17,0.1,0.0,0.57,0.02,0.0,0.0,dc
116,2000.0,78.09,"WASHINGTON,DC",2667.0,22.48,487.0,42.64,526.0,28719.0,82000.0,20.1,1.16,96.78,1.16,0.15,0.04,0.0,0.71,0.0,0.0,0.0,dc
117,2000.0,79.01,"WASHINGTON,DC",3680.0,31.94,951.0,64.91,440.0,24327.0,107700.0,24.3,0.6,96.82,1.41,0.16,0.33,0.03,0.57,0.08,0.0,0.0,dc
118,2000.0,79.03,"WASHINGTON,DC",1840.0,19.03,313.0,39.52,476.0,36280.0,99000.0,25.7,0.92,95.92,2.12,0.05,0.0,0.0,0.87,0.11,0.0,0.0,dc
119,2000.0,80.01,"WASHINGTON,DC",2578.0,17.71,378.0,33.27,677.0,41949.0,135900.0,30.1,12.06,83.94,1.59,0.16,1.05,0.0,1.16,0.04,0.0,0.0,dc
120,2000.0,80.02,"WASHINGTON,DC",3104.0,13.11,776.0,51.8,840.0,50025.0,149500.0,21.9,24.71,71.13,1.55,0.1,0.64,0.13,1.55,0.19,0.0,0.0,dc
121,2000.0,81.0,"WASHINGTON,DC",2527.0,6.19,644.0,48.1,787.0,62742.0,235000.0,21.7,59.79,32.17,2.97,0.2,1.7,0.08,2.41,0.67,0.0,0.0,dc
122,2000.0,82.0,"WASHINGTON,DC",2505.0,3.3,933.0,61.18,755.0,58274.0,311000.0,21.9,85.87,6.63,3.15,0.68,1.8,0.16,1.36,0.36,0.0,0.0,dc
123,2000.0,83.01,"WASHINGTON,DC",2243.0,9.48,553.0,47.59,813.0,66550.0,229400.0,21.9,57.96,33.53,3.3,0.27,2.76,0.04,1.78,0.36,0.0,0.0,dc
124,2000.0,83.02,"WASHINGTON,DC",1956.0,4.72,370.0,41.81,884.0,67868.0,227200.0,22.0,53.53,39.78,3.07,0.1,1.58,0.05,1.79,0.1,0.0,0.0,dc
125,2000.0,84.02,"WASHINGTON,DC",2139.0,24.62,696.0,62.48,506.0,31484.0,143800.0,26.2,21.22,70.31,3.09,0.47,1.54,0.09,3.13,0.14,0.0,0.0,dc
